"age_id";"gender";"year_id";"Dxt_HMD"
"10";"Male";"2018";"249.02"
"10";"Male";"2019";"291.02"
"10";"Male";"2020";"275.02"
"11";"Female";"2000";"302.02"
"11";"Female";"2001";"272.02"
"11";"Female";"2002";"271.02"
"11";"Female";"2003";"273.02"
"11";"Female";"2004";"236.02"
"11";"Female";"2005";"244.01"
"11";"Female";"2006";"226"
"11";"Female";"2007";"212"
"11";"Female";"2008";"236"
"11";"Female";"2009";"247.02"
"11";"Female";"2010";"223"
"11";"Female";"2011";"177.01"
"11";"Female";"2012";"200"
"11";"Female";"2013";"198"
"11";"Female";"2014";"189"
"11";"Female";"2015";"198"
"11";"Female";"2016";"227"
"11";"Female";"2017";"218"
"11";"Female";"2018";"247"
"11";"Female";"2019";"212"
"11";"Female";"2020";"203"
"11";"Male";"2000";"442.1"
"11";"Male";"2001";"408.12"
"11";"Male";"2002";"385.09"
"11";"Male";"2003";"350.08"
"11";"Male";"2004";"348.08"
"11";"Male";"2005";"358.06"
"11";"Male";"2006";"344.05"
"11";"Male";"2007";"323.04"
"11";"Male";"2008";"269.02"
"11";"Male";"2009";"328.04"
"11";"Male";"2010";"297.25"
"11";"Male";"2011";"301.39"
"11";"Male";"2012";"271.02"
"11";"Male";"2013";"259.02"
"11";"Male";"2014";"279.02"
"11";"Male";"2015";"266.02"
"11";"Male";"2016";"279.02"
"11";"Male";"2017";"304.02"
"11";"Male";"2018";"247.02"
"11";"Male";"2019";"323.02"
"11";"Male";"2020";"323.02"
"12";"Female";"2000";"279.02"
"12";"Female";"2001";"302.02"
"12";"Female";"2002";"304.02"
"12";"Female";"2003";"277.02"
"12";"Female";"2004";"279.02"
"12";"Female";"2005";"268.02"
"12";"Female";"2006";"240.01"
"12";"Female";"2007";"243"
"12";"Female";"2008";"223.01"
"12";"Female";"2009";"249.02"
"12";"Female";"2010";"244"
"12";"Female";"2011";"205.99"
"12";"Female";"2012";"209"
"12";"Female";"2013";"232"
"12";"Female";"2014";"222"
"12";"Female";"2015";"225"
"12";"Female";"2016";"221"
"12";"Female";"2017";"218"
"12";"Female";"2018";"252"
"12";"Female";"2019";"250"
"12";"Female";"2020";"264"
"12";"Male";"2000";"462.11"
"12";"Male";"2001";"434.12"
"12";"Male";"2002";"496.12"
"12";"Male";"2003";"479.11"
"12";"Male";"2004";"455.1"
"12";"Male";"2005";"379.06"
"12";"Male";"2006";"343.05"
"12";"Male";"2007";"347.04"
"12";"Male";"2008";"347.02"
"12";"Male";"2009";"323.05"
"12";"Male";"2010";"307.02"
"12";"Male";"2011";"326.65"
"12";"Male";"2012";"301.02"
"12";"Male";"2013";"323.02"
"12";"Male";"2014";"312.02"
"12";"Male";"2015";"293.02"
"12";"Male";"2016";"313.02"
"12";"Male";"2017";"383.02"
"12";"Male";"2018";"337.02"
"12";"Male";"2019";"352.02"
"12";"Male";"2020";"353.02"
"13";"Female";"2000";"340.02"
"13";"Female";"2001";"324.02"
"13";"Female";"2002";"381.02"
"13";"Female";"2003";"346.02"
"13";"Female";"2004";"349.02"
"13";"Female";"2005";"318.02"
"13";"Female";"2006";"290.02"
"13";"Female";"2007";"319.02"
"13";"Female";"2008";"260"
"13";"Female";"2009";"255.02"
"13";"Female";"2010";"243"
"13";"Female";"2011";"237"
"13";"Female";"2012";"243"
"13";"Female";"2013";"293"
"13";"Female";"2014";"259.02"
"13";"Female";"2015";"292.01"
"13";"Female";"2016";"258"
"13";"Female";"2017";"274"
"13";"Female";"2018";"283"
"13";"Female";"2019";"293"
"13";"Female";"2020";"303"
"13";"Male";"2000";"532.13"
"13";"Male";"2001";"537.15"
"13";"Male";"2002";"565.13"
"13";"Male";"2003";"565.13"
"13";"Male";"2004";"530.13"
"13";"Male";"2005";"532.09"
"13";"Male";"2006";"467.07"
"13";"Male";"2007";"462.06"
"13";"Male";"2008";"439.04"
"13";"Male";"2009";"419.06"
"13";"Male";"2010";"379.02"
"13";"Male";"2011";"397.04"
"13";"Male";"2012";"379.03"
"13";"Male";"2013";"382.02"
"13";"Male";"2014";"420.04"
"13";"Male";"2015";"394.03"
"13";"Male";"2016";"386.02"
"13";"Male";"2017";"428.02"
"13";"Male";"2018";"393.03"
"13";"Male";"2019";"394.02"
"13";"Male";"2020";"497.02"
"14";"Female";"2000";"436.02"
"14";"Female";"2001";"418.03"
"14";"Female";"2002";"423.02"
"14";"Female";"2003";"362.02"
"14";"Female";"2004";"470.02"
"14";"Female";"2005";"416.02"
"14";"Female";"2006";"355.02"
"14";"Female";"2007";"352.02"
"14";"Female";"2008";"336.02"
"14";"Female";"2009";"318.02"
"14";"Female";"2010";"313.01"
"14";"Female";"2011";"330"
"14";"Female";"2012";"307.02"
"14";"Female";"2013";"302"
"14";"Female";"2014";"287.02"
"14";"Female";"2015";"352.02"
"14";"Female";"2016";"354.02"
"14";"Female";"2017";"337.01"
"14";"Female";"2018";"321"
"14";"Female";"2019";"324.01"
"14";"Female";"2020";"346"
"14";"Male";"2000";"726.17"
"14";"Male";"2001";"671.18"
"14";"Male";"2002";"672.16"
"14";"Male";"2003";"722.16"
"14";"Male";"2004";"704.16"
"14";"Male";"2005";"743.12"
"14";"Male";"2006";"637.09"
"14";"Male";"2007";"627.08"
"14";"Male";"2008";"555.05"
"14";"Male";"2009";"522.07"
"14";"Male";"2010";"514.04"
"14";"Male";"2011";"521.04"
"14";"Male";"2012";"516.04"
"14";"Male";"2013";"498.04"
"14";"Male";"2014";"505.04"
"14";"Male";"2015";"549.04"
"14";"Male";"2016";"510.04"
"14";"Male";"2017";"561.04"
"14";"Male";"2018";"569.04"
"14";"Male";"2019";"536.04"
"14";"Male";"2020";"669.03"
"15";"Female";"2000";"540.03"
"15";"Female";"2001";"499.04"
"15";"Female";"2002";"507.03"
"15";"Female";"2003";"490.02"
"15";"Female";"2004";"536.04"
"15";"Female";"2005";"485.02"
"15";"Female";"2006";"475.02"
"15";"Female";"2007";"469.02"
"15";"Female";"2008";"466.02"
"15";"Female";"2009";"406.02"
"15";"Female";"2010";"362.02"
"15";"Female";"2011";"361"
"15";"Female";"2012";"392.02"
"15";"Female";"2013";"348.01"
"15";"Female";"2014";"367.02"
"15";"Female";"2015";"368.02"
"15";"Female";"2016";"399.02"
"15";"Female";"2017";"423.02"
"15";"Female";"2018";"397.01"
"15";"Female";"2019";"383.02"
"15";"Female";"2020";"432"
"15";"Male";"2000";"1019.25"
"15";"Male";"2001";"962.26"
"15";"Male";"2002";"913.21"
"15";"Male";"2003";"908.21"
"15";"Male";"2004";"993.23"
"15";"Male";"2005";"1028.16"
"15";"Male";"2006";"939.13"
"15";"Male";"2007";"903.11"
"15";"Male";"2008";"836.07"
"15";"Male";"2009";"754.11"
"15";"Male";"2010";"703.05"
"15";"Male";"2011";"654.05"
"15";"Male";"2012";"696.05"
"15";"Male";"2013";"698.05"
"15";"Male";"2014";"655.06"
"15";"Male";"2015";"724.05"
"15";"Male";"2016";"771.05"
"15";"Male";"2017";"796.05"
"15";"Male";"2018";"789.06"
"15";"Male";"2019";"754.06"
"15";"Male";"2020";"900.04"
"16";"Female";"2000";"716.04"
"16";"Female";"2001";"741.05"
"16";"Female";"2002";"772.04"
"16";"Female";"2003";"705.04"
"16";"Female";"2004";"738.04"
"16";"Female";"2005";"676.03"
"16";"Female";"2006";"705.02"
"16";"Female";"2007";"672.02"
"16";"Female";"2008";"573.02"
"16";"Female";"2009";"565.04"
"16";"Female";"2010";"514.02"
"16";"Female";"2011";"497.02"
"16";"Female";"2012";"497.02"
"16";"Female";"2013";"422.02"
"16";"Female";"2014";"439.02"
"16";"Female";"2015";"485.02"
"16";"Female";"2016";"507.02"
"16";"Female";"2017";"511.02"
"16";"Female";"2018";"472.02"
"16";"Female";"2019";"445.02"
"16";"Female";"2020";"525.02"
"16";"Male";"2000";"1492.37"
"16";"Male";"2001";"1439.4"
"16";"Male";"2002";"1566.37"
"16";"Male";"2003";"1483.33"
"16";"Male";"2004";"1470.34"
"16";"Male";"2005";"1430.23"
"16";"Male";"2006";"1448.2"
"16";"Male";"2007";"1337.16"
"16";"Male";"2008";"1258.1"
"16";"Male";"2009";"1153.17"
"16";"Male";"2010";"1100.08"
"16";"Male";"2011";"1038.08"
"16";"Male";"2012";"962.08"
"16";"Male";"2013";"931.07"
"16";"Male";"2014";"996.08"
"16";"Male";"2015";"988.06"
"16";"Male";"2016";"1073.07"
"16";"Male";"2017";"1170.07"
"16";"Male";"2018";"1021.08"
"16";"Male";"2019";"1042.07"
"16";"Male";"2020";"1268.06"
"17";"Female";"2000";"786.04"
"17";"Female";"2001";"849.06"
"17";"Female";"2002";"871.05"
"17";"Female";"2003";"796.04"
"17";"Female";"2004";"819.05"
"17";"Female";"2005";"813.04"
"17";"Female";"2006";"766.04"
"17";"Female";"2007";"746.02"
"17";"Female";"2008";"682.02"
"17";"Female";"2009";"689.04"
"17";"Female";"2010";"578.02"
"17";"Female";"2011";"618.02"
"17";"Female";"2012";"520.02"
"17";"Female";"2013";"539.02"
"17";"Female";"2014";"545.02"
"17";"Female";"2015";"569.02"
"17";"Female";"2016";"613.02"
"17";"Female";"2017";"552.02"
"17";"Female";"2018";"594.02"
"17";"Female";"2019";"533.02"
"17";"Female";"2020";"592.02"
"17";"Male";"2000";"1951.48"
"17";"Male";"2001";"1921.53"
"17";"Male";"2002";"1900.44"
"17";"Male";"2003";"1906.42"
"17";"Male";"2004";"1894.44"
"17";"Male";"2005";"1949.31"
"17";"Male";"2006";"1958.28"
"17";"Male";"2007";"1847.23"
"17";"Male";"2008";"1718.14"
"17";"Male";"2009";"1562.22"
"17";"Male";"2010";"1471.1"
"17";"Male";"2011";"1392.11"
"17";"Male";"2012";"1319.11"
"17";"Male";"2013";"1301.09"
"17";"Male";"2014";"1257.1"
"17";"Male";"2015";"1408.1"
"17";"Male";"2016";"1443.1"
"17";"Male";"2017";"1409.09"
"17";"Male";"2018";"1433.11"
"17";"Male";"2019";"1351.1"
"17";"Male";"2020";"1636.08"
"18";"Female";"2000";"926.06"
"18";"Female";"2001";"830.06"
"18";"Female";"2002";"915.56"
"18";"Female";"2003";"983.06"
"18";"Female";"2004";"966.06"
"18";"Female";"2005";"905.03"
"18";"Female";"2006";"909.03"
"18";"Female";"2007";"929.04"
"18";"Female";"2008";"843.04"
"18";"Female";"2009";"827.06"
"18";"Female";"2010";"716.02"
"18";"Female";"2011";"694.02"
"18";"Female";"2012";"701.03"
"18";"Female";"2013";"655.02"
"18";"Female";"2014";"644.02"
"18";"Female";"2015";"743.02"
"18";"Female";"2016";"776.02"
"18";"Female";"2017";"744.02"
"18";"Female";"2018";"730.02"
"18";"Female";"2019";"760.02"
"18";"Female";"2020";"831.02"
"18";"Male";"2000";"2441.59"
"18";"Male";"2001";"2549.7"
"18";"Male";"2002";"2524.6"
"18";"Male";"2003";"2556.57"
"18";"Male";"2004";"2522.58"
"18";"Male";"2005";"2546.41"
"18";"Male";"2006";"2632.37"
"18";"Male";"2007";"2576.32"
"18";"Male";"2008";"2431.2"
"18";"Male";"2009";"2223.32"
"18";"Male";"2010";"2184.15"
"18";"Male";"2011";"2050.16"
"18";"Male";"2012";"1971.16"
"18";"Male";"2013";"1730.13"
"18";"Male";"2014";"1799.15"
"18";"Male";"2015";"1841.13"
"18";"Male";"2016";"2040.14"
"18";"Male";"2017";"2019.13"
"18";"Male";"2018";"1971.15"
"18";"Male";"2019";"1972.14"
"18";"Male";"2020";"2328.11"
"19";"Female";"2000";"899.05"
"19";"Female";"2001";"870.06"
"19";"Female";"2002";"902.56"
"19";"Female";"2003";"917.05"
"19";"Female";"2004";"969.06"
"19";"Female";"2005";"939.04"
"19";"Female";"2006";"967.04"
"19";"Female";"2007";"925.04"
"19";"Female";"2008";"884.04"
"19";"Female";"2009";"857.06"
"19";"Female";"2010";"851.02"
"19";"Female";"2011";"806.02"
"19";"Female";"2012";"740.02"
"19";"Female";"2013";"758.02"
"19";"Female";"2014";"761.04"
"19";"Female";"2015";"833.02"
"19";"Female";"2016";"804.02"
"19";"Female";"2017";"806.02"
"19";"Female";"2018";"807.02"
"19";"Female";"2019";"776.02"
"19";"Female";"2020";"946.02"
"19";"Male";"2000";"2794.68"
"19";"Male";"2001";"2897.8"
"19";"Male";"2002";"2942.69"
"19";"Male";"2003";"2853.64"
"19";"Male";"2004";"2799.64"
